location,Total Cases,Total Death,Mortality Rate,Population,Population_Density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,female_smokers,male_smokers,January,February,March,April,May,June,July,August,September,October,November,December
Afghanistan,49160,2010,0.0409,38928341,54.422,18.6,2.581,1.337,1803.987,597.029,9.59,37.746,0.5,64.83,0.498,0,0,0,0,174,1952,13081,16299,5158,1494,1109,2157,4849,2887
Albania,50635,1039,0.0205,2877800,104.871,38,13.188,8.643,11803.431,304.195,10.08,0,2.89,78.57,0.785,7.1,51.2,0,0,241,530,364,1398,2741,4237,4136,7226,17307,12455
Algeria,93506,2630,0.0281,43851043,17.348,29.1,6.211,3.857,13913.839,278.364,6.73,83.741,1.9,76.88,0.754,0.7,30.4,0,0,715,3290,5388,4513,16487,14100,7036,6412,25257,10308
Andorra,7445,78,0.0105,77265,163.755,0,0,0,0,109.135,7.97,0,0,83.73,0.858,29,37.8,0,0,375,369,19,91,70,251,874,2706,1989,701
Angola,16406,377,0.0230,32866268,23.89,16.8,2.405,1.362,5819.495,276.045,3.94,26.664,0,61.15,0.581,0,0,0,0,6,20,59,198,864,1506,2318,5833,4334,1268
Antigua and Barbuda,150,4,0.0267,97928,231.845,32.1,6.933,4.631,21490.943,191.511,13.17,0,3.8,77.02,0.78,0,0,0,0,6,17,2,43,22,3,7,27,13,10
Argentina,1517045,41364,0.0273,45195777,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,0,5,76.67,0.825,16.2,27.7,0,0,1053,3374,12423,47679,126772,226433,333266,415923,257609,92513
Armenia,150217,2555,0.0170,2963234,102.931,35.7,11.232,7.571,8787.58,341.01,7.11,94.043,4.2,75.09,0.755,1.5,52.1,0,0,531,1534,7216,16260,13008,5231,6578,39454,45311,15094
Australia,28068,907,0.0323,25499881,3.202,37.9,15.504,10.129,44648.71,107.791,5.07,0,3.84,83.44,0.939,13,16.5,0,16,4534,2207,436,718,9360,8539,1277,499,317,160
Austria,330341,4763,0.0144,9006400,106.749,44.4,19.202,13.748,45436.686,145.183,6.35,0,7.37,81.54,0.908,28.4,30.9,0,7,10171,5272,1279,1035,3364,6308,17375,60112,177531,47887
